X0,Y0,Z0,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,Tipo
0.023026,-0.217936,1.9586,0.019842,0.129373,2.00175,0.01665,0.461646,2.02922,0.043155,0.624232,2.03369,-0.134947,0.309924,1.96781,-0.195493,0.052053,1.91802,-0.192656,-0.150025,1.80805,-0.181159,-0.199025,1.78751,0.19649,0.298131,2.01169,0.22879,0.03268,1.96192,0.224039,-0.166959,1.84755,0.205601,-0.202829,1.83231,-0.053761,-0.210758,1.90774,-0.05914,-0.648719,1.89749,-0.078879,-1.08571,1.8345,-0.066042,-1.09275,1.7118,0.0988,-0.215956,1.92716,0.094018,-0.649282,1.88864,0.118467,-1.08896,1.80044,0.127547,-1.0957,1.67797,0.017454,0.380531,2.02492,-0.162579,-0.263031,1.76623,-0.151344,-0.203065,1.75518,0.191468,-0.267091,1.79902,0.250063,-0.181936,1.81602,0
0.023026,-0.218023,1.9585,0.019864,0.129315,2.00162,0.016698,0.461617,2.02905,0.04316,0.624226,2.03365,-0.134993,0.309929,1.96778,-0.195275,0.05208,1.91779,-0.19249,-0.149871,1.80802,-0.180838,-0.197747,1.78564,0.195977,0.29731,2.01074,0.228749,0.032748,1.96188,0.224053,-0.166702,1.84759,0.204671,-0.201886,1.8316,-0.053765,-0.210777,1.90766,-0.059207,-0.648789,1.89745,-0.078816,-1.08532,1.83382,-0.066146,-1.09238,1.71106,0.098806,-0.216152,1.92703,0.094352,-0.649739,1.8883,0.119158,-1.08871,1.79957,0.128057,-1.09545,1.67705,0.017496,0.380494,2.02476,-0.162084,-0.262123,1.76333,-0.140199,-0.210267,1.76384,0.192303,-0.267276,1.79779,0.25013,-0.181357,1.8157,0
0.023058,-0.218107,1.95849,0.01987,0.129305,2.00161,0.016687,0.461661,2.02898,0.043163,0.624275,2.03366,-0.134986,0.309948,1.96776,-0.195147,0.052004,1.91769,-0.192252,-0.149919,1.80802,-0.180786,-0.198659,1.78629,0.195984,0.297285,2.01071,0.228724,0.032774,1.96188,0.224049,-0.166626,1.84764,0.205371,-0.202792,1.83294,-0.053739,-0.210824,1.90767,-0.057732,-0.64981,1.89727,-0.079313,-1.08541,1.83422,-0.066636,-1.09246,1.71149,0.098842,-0.216277,1.927,0.094365,-0.649741,1.8883,0.119428,-1.08873,1.79885,0.12832,-1.09545,1.67635,0.017491,0.380519,2.02471,-0.160524,-0.26256,1.764,-0.141674,-0.206497,1.76607,0.191726,-0.267967,1.80078,0.249349,-0.183266,1.81564,0
0.023006,-0.218097,1.95845,0.019852,0.129315,2.00158,0.016686,0.46167,2.02897,0.04315,0.624316,2.03363,-0.135035,0.309965,1.96773,-0.195021,0.051981,1.91761,-0.192021,-0.149914,1.80796,-0.180205,-0.197533,1.78585,0.195988,0.297293,2.01072,0.228691,0.032829,1.96188,0.224051,-0.166559,1.8477,0.205364,-0.202218,1.83293,-0.053796,-0.210809,1.90759,-0.057692,-0.649823,1.89725,-0.079728,-1.08541,1.83487,-0.067055,-1.09242,1.71228,0.098796,-0.216269,1.92697,0.094458,-0.649492,1.88832,0.119628,-1.08861,1.7984,0.128504,-1.09528,1.67605,0.017487,0.380529,2.0247,-0.160607,-0.263303,1.76429,-0.137333,-0.209136,1.77065,0.191688,-0.267832,1.80187,0.249794,-0.182498,1.81571,0
0.023004,-0.218101,1.95846,0.019848,0.129321,2.00158,0.016671,0.461708,2.02895,0.043077,0.624424,2.03379,-0.135516,0.309811,1.96764,-0.194881,0.051929,1.91752,-0.191839,-0.149981,1.80799,-0.179934,-0.19913,1.78653,0.196016,0.29733,2.01081,0.228679,0.032822,1.96191,0.224054,-0.166535,1.84775,0.205255,-0.203067,1.83489,-0.053797,-0.210831,1.90762,-0.057511,-0.650714,1.89687,-0.079847,-1.08552,1.83508,-0.067171,-1.09249,1.71261,0.098793,-0.216267,1.92698,0.094681,-0.649014,1.88836,0.119509,-1.0886,1.79834,0.128387,-1.09524,1.67611,0.017475,0.380556,2.02469,-0.160056,-0.263123,1.76537,-0.139007,-0.207575,1.76874,0.190916,-0.267297,1.80113,0.241928,-0.187487,1.808,0
-0.215871,-0.244497,2.02171,-0.205153,0.11628,2.06055,-0.193391,0.461717,2.08302,-0.17267,0.614284,2.08035,-0.390071,0.322124,2.03139,-0.34745,-0.056601,1.91274,-0.375507,-0.443249,1.89967,-0.375033,-0.582054,1.86635,0.005549,0.308295,2.06772,0.25498,0.159799,2.04108,-0.097709,0.09354,1.87678,-0.203984,0.078061,1.84661,-0.302433,-0.23623,1.96476,-0.346745,-0.626793,1.87727,-0.380763,-0.891519,1.89062,-0.389531,-0.972079,1.78978,-0.120302,-0.242532,1.99406,-0.107523,-0.480639,1.90829,-0.13948,-1.11146,1.91267,-0.125255,-1.13183,1.74456,-0.196522,0.377368,2.08008,-0.379149,-0.641976,1.85611,-0.32453,-0.589327,1.8384,-0.276558,0.029793,1.83682,-0.146755,0.003209,1.80996,1
-0.193766,-0.236679,2.07971,-0.194868,0.118761,2.07792,-0.191493,0.461739,2.08187,-0.170507,0.613913,2.07851,-0.387884,0.32217,2.0301,-0.34657,-0.056156,1.91214,-0.339239,-0.443135,1.88118,-0.324748,-0.561897,1.85892,0.007804,0.30884,2.06658,0.25387,0.155597,2.04144,-0.097912,0.092248,1.87555,-0.199654,0.077217,1.84438,-0.28075,-0.22929,2.02374,-0.351963,-0.611564,1.84909,-0.380676,-0.891263,1.89022,-0.390621,-0.972727,1.79121,-0.099003,-0.234532,2.0519,-0.111889,-0.615526,1.85344,-0.118412,-0.905584,1.88475,-0.089105,-0.996433,1.81021,-0.193737,0.377614,2.08053,-0.332367,-0.650927,1.86088,-0.270772,-0.540145,1.86315,-0.268192,0.033674,1.83701,-0.143027,-0.002983,1.80537,1
-0.156234,-0.239525,2.02365,-0.177547,0.11799,2.06516,-0.187804,0.461154,2.08044,-0.166761,0.614177,2.07816,-0.378876,0.321491,2.02756,-0.634595,0.268893,1.98098,-0.367592,0.263703,1.98905,-0.311597,0.264659,1.94804,0.018861,0.308438,2.06596,0.233297,0.148996,2.04315,-0.086584,0.090096,1.88071,-0.183125,0.074119,1.8428,-0.243959,-0.231726,1.96812,-0.329893,-0.594637,1.88705,-0.384184,-0.913007,1.88964,-0.390724,-0.972356,1.78622,-0.062058,-0.237382,1.99519,-0.103258,-0.607344,1.89753,-0.120153,-0.930802,1.87916,-0.081541,-1.00143,1.80514,-0.187314,0.377066,2.07844,-0.255055,0.272175,1.9068,-0.307314,0.341278,1.95402,-0.260511,0.029874,1.83443,-0.12645,0.001761,1.80844,1
-0.185029,-0.201802,1.96961,-0.178212,0.132386,2.0387,-0.182146,0.460942,2.07862,-0.161566,0.614358,2.07513,-0.373409,0.320949,2.02562,-0.61115,0.272067,1.98553,-0.363364,0.259759,1.99357,-0.31052,0.256955,1.94709,0.022244,0.308108,2.06394,0.256848,0.233985,2.01854,0.186338,0.523133,1.94406,0.159428,0.595503,1.95063,-0.27241,-0.194632,1.91674,-0.327464,-0.587743,1.88646,-0.379635,-0.894714,1.88952,-0.38741,-0.956508,1.80227,-0.089831,-0.200429,1.93909,-0.101024,-0.58869,1.89933,-0.115258,-0.90512,1.87777,-0.102945,-0.918163,1.73376,-0.182167,0.378651,2.07404,-0.256608,0.263973,1.90299,-0.313113,0.326263,1.94834,0.135431,0.67819,1.95995,0.10345,0.584732,1.92135,1
-0.183221,-0.201067,1.96871,-0.176282,0.133838,2.0353,-0.176504,0.46029,2.07604,-0.156191,0.614392,2.07343,-0.366216,0.320735,2.02383,-0.595102,0.272843,1.98784,-0.356552,0.258857,1.99387,-0.306889,0.252313,1.94728,0.026347,0.308219,2.06271,0.251823,0.235665,2.01879,0.186954,0.522186,1.94347,0.164651,0.594294,1.94952,-0.270618,-0.193962,1.91606,-0.323952,-0.589135,1.88275,-0.378061,-0.896958,1.88797,-0.387199,-0.95419,1.80344,-0.088119,-0.1997,1.9384,-0.099994,-0.58884,1.89768,-0.114885,-0.905013,1.8768,-0.102917,-0.916618,1.73857,-0.176877,0.379347,2.06998,-0.254101,0.262238,1.90281,-0.308287,0.320807,1.94518,0.152593,0.677607,1.9574,0.105943,0.595434,1.92194,1
